,id,address,addressStreet,addressCity,addressZipcode,beds,baths,area,price,latitude,longitude
101,13199857,"4894 Briar Ridge Ct, Boulder, CO 80301",4894 Briar Ridge Ct,Boulder,80301,3,4,2788,820000,40.0637,-105.18184
102,13176707,"920 Grant Pl, Boulder, CO 80302",920 Grant Pl,Boulder,80302,4,4,3562,2450000,40.00417,-105.28278
103,13224309,"6107 Old Brompton Rd, Boulder, CO 80301",6107 Old Brompton Rd,Boulder,80301,6,4,3702,1850000,40.05672,-105.2114
104,13180127,"435 Arapahoe Ave, Boulder, CO 80302",435 Arapahoe Ave,Boulder,80302,3,3,4981,3850000,40.013172,-105.29068
105,13183090,"744 Spruce St, Boulder, CO 80302",744 Spruce St,Boulder,80302,5,5,5399,6750000,40.01749,-105.28557
106,13177120,"2738 Pine St, Boulder, CO 80302",2738 Pine St,Boulder,80302,3,1,1134,998500,40.02409,-105.25886
107,13177805,"3211 7th St, Boulder, CO 80304",3211 7th St,Boulder,80304,4,4,2920,2695000,40.03314,-105.2883
108,13214698,"3795 Lakebriar Dr, Boulder, CO 80304",3795 Lakebriar Dr,Boulder,80304,5,4,4473,3274995,40.04356,-105.29331
109,13179160,"2237 Columbine Ave, Boulder, CO 80302",2237 Columbine Ave,Boulder,80302,4,2,2016,1395000,39.99941,-105.26396
110,13182711,"845 Grant Place, Boulder, CO 80302",845 Grant Place,Boulder,80302,1,1,738,1150000,40.00269,-105.283295
111,13197327,"2116 Knollwood Dr, Boulder, CO 80302",2116 Knollwood Dr,Boulder,80302,4,4,3348,2899999,40.01797,-105.29327
112,13197337,"2195 Knollwood Dr, Boulder, CO 80302",2195 Knollwood Dr,Boulder,80302,3,3,3913,3650000,40.01797,-105.2949
113,13196175,"1033 5th St, Boulder, CO 80302",1033 5th St,Boulder,80302,6,6,10379,5000000,40.00562,-105.2898
114,13217546,"2910 Glenwood Drive, Boulder, CO 80301",2910 Glenwood Drive,Boulder,80301,2,2,1542,577000,40.03267,-105.2552
115,13250444,"500 Mohawk Dr UNIT 510, Boulder, CO 80303",500 Mohawk Dr UNIT 510,Boulder,80303,1,1,763,400000,39.99679,-105.23583
116,13242062,"2156 Lefthand Canyon Dr, Boulder, CO 80302",2156 Lefthand Canyon Dr,Boulder,80302,7,5,5839,2095000,40.11576,-105.3081
117,13222588,"3830 Broadway Street  Unit 36, Boulder, CO 80304",3830 Broadway Street  Unit 36,Boulder,80304,4,3,1892,797500,40.044647,-105.28136
118,13180631,"1445 Moss Rock Pl, Boulder, CO 80304",1445 Moss Rock Pl,Boulder,80304,4,4,4359,5495000,40.0422,-105.27922
119,13248133,"297 Pearl St, Boulder, CO 80302",297 Pearl St,Boulder,80302,4,4,2868,2250000,40.015415,-105.29232
120,13177340,"845 Park Ln, Boulder, CO 80302",845 Park Ln,Boulder,80302,4,4,3896,2895000,40.00338,-105.28918
121,13187822,"890 Waite Drive, Boulder, CO 80303",890 Waite Drive,Boulder,80303,4,2,1686,1025000,40.00445,-105.23568
122,13249740,"745 Zamia Ct, Boulder, CO 80304",745 Zamia Ct,Boulder,80304,4,4,3818,2295000,40.06165,-105.2869
123,13177890,"1843 Arapahoe Ave, Boulder, CO 80302",1843 Arapahoe Ave,Boulder,80302,5,3,2872,1329000,40.01477,-105.27047
124,13214130,"6191 Sunshine Canyon Dr, Boulder, CO 80302",6191 Sunshine Canyon Dr,Boulder,80302,3,3,2808,1690000,40.06104,-105.36939
125,13212061,"952 Rembrandt Rd, Boulder, CO 80302",952 Rembrandt Rd,Boulder,80302,3,5,5008,3200000,40.108696,-105.30814
126,339034518,"1955 3rd St UNIT 6, Boulder, CO 80302",1955 3rd St UNIT 6,Boulder,80302,4,5,3629,4350000,40.01498,-105.29192
127,13245110,"1505 Lodge Ct, Boulder, CO 80303",1505 Lodge Ct,Boulder,80303,3,3,3290,1220000,40.01306,-105.225975
128,13189240,"251 Pawnee Dr, Boulder, CO 80303",251 Pawnee Dr,Boulder,80303,4,4,3558,1950000,39.99229,-105.237
129,13176688,"824 Juniper Ave, Boulder, CO 80304",824 Juniper Ave,Boulder,80304,5,5,5519,4850000,40.03682,-105.28641
