address,addressZipcode,beds,baths,area,price,year,source
"4866 BRANDON CREEK DR , BOULDER, CO 80301",80301,2.0,1.0,936.0,445000,2018,bouldercounty
"1999 JOSLYN PL , BOULDER, CO 80304",80304,4.0,3.0,2908.0,1080000,2018,bouldercounty
"1244 OAKLEAF CIR , BOULDER, CO 80304-1151",80304-1151,3.0,2.5,2423.0,1046500,2018,bouldercounty
"1707 YARMOUTH AVE 106, BOULDER, CO 80304",80304,1.0,1.0,728.0,148600,2018,bouldercounty
"3301 ARAPAHOE AVE 304, BOULDER, CO 80303",80303,1.0,1.0,837.0,546500,2018,bouldercounty
"3401 ARAPAHOE AVE 103, BOULDER, CO 80304",80304,2.0,2.0,1553.0,737500,2018,bouldercounty
"2930 SHADOW CREEK DR 304, BOULDER, CO 80303",80303,2.0,2.0,955.0,366900,2018,bouldercounty
"600 MANHATTAN DR 4D, BOULDER, CO 80303",80303,2.0,2.0,1152.0,335000,2018,bouldercounty
"4500 19TH ST 643, BOULDER, CO 80304-0624",80304-0624,0.0,0.0,0.0,30000,2018,bouldercounty
"600 MANHATTAN DR 11C, FT COLLINS, CO 80525",80525,2.0,1.5,1152.0,336000,2018,bouldercounty
"60 SOUTH BOULDER CIR 6026, BOULDER, CO 80303",80303,2.0,1.5,864.0,385000,2018,bouldercounty
"835 LINDEN AVE , BOULDER, CO 80304",80304,6.0,3.0,4499.0,1550000,2018,bouldercounty
"1934 18TH ST 13, LOUISVILLE, CO 80027",80027,1.0,1.0,406.0,325000,2018,bouldercounty
"861 13TH ST , BOULDER, CO 80302",80302,4.0,1.5,1745.0,1575000,2018,bouldercounty
"2994 SHADY HOLLOW WEST  , BOULDER, CO 80304",80304,2.0,1.0,1331.0,515000,2018,bouldercounty
"2171 JONATHAN PL , BOULDER, CO 80304",80304,4.0,5.0,3622.0,892500,2018,bouldercounty
"2455 SUMAC AVE , BOULDER, CO 80304",80304,3.0,2.5,2774.0,121100,2018,bouldercounty
"3062 11TH ST , BOULDER, CO 80304-2526",80304-2526,4.0,3.0,3123.0,1650000,2018,bouldercounty
"925 GRANDVIEW AVE , BOULDER, CO 80302",80302,3.0,2.5,2382.0,1135600,2018,bouldercounty
"4500 19TH ST 225, BOULDER, CO 80304",80304,0.0,0.0,0.0,78000,2018,bouldercounty
"1120 MONROE DR B, BOULDER, CO 80303-8316",80303-8316,2.0,1.5,1056.0,475000,2018,bouldercounty
"5015 INGERSOLL PL , BOULDER, CO 80303",80303,4.0,2.5,2772.0,925000,2018,bouldercounty
"210 KIOWA PL , BOULDER, CO 80303",80303,4.0,2.0,2851.0,852000,2018,bouldercounty
"110 CHAUTAUQUA PARK , BOULDER, CO 80302",80302,6.0,3.0,2188.0,1450078,2018,bouldercounty
"625 PEARL ST 3, ST PAUL, MN 55127",55127,2.0,1.0,748.0,494000,2018,bouldercounty
"4879 KINGS RIDGE BLVD , BOULDER, CO 80301-5435",80301-5435,2.0,2.0,1818.0,585000,2018,bouldercounty
"695 MANHATTAN DR 8, BOULDER, CO 80303-4035",80303-4035,2.0,1.5,888.0,336000,2018,bouldercounty
"1390 ITHACA DR , BOULDER, CO 80305",80305,4.0,2.0,1939.0,775000,2018,bouldercounty
"4500 19TH ST 97, BOULDER, CO 80304-0616",80304-0616,0.0,0.0,0.0,8000,2018,bouldercounty
"3600 IRIS AVE D, BOULDER, CO 80301",80301,2.0,1.0,880.0,329000,2018,bouldercounty
"3625 ROUNDTREE CT , BOULDER, CO 80304",80304,4.0,2.5,2136.0,750000,2018,bouldercounty
"2800 KALMIA AVE C215, BOULDER, CO 80301",80301,2.0,1.5,888.0,365000,2018,bouldercounty
"652 TANTRA DR C, LOUISVILLE, CO 80027",80027,2.0,1.0,816.0,382500,2018,bouldercounty
"805 MOORHEAD CIR B, BOULDER, CO 80305",80305,2.0,1.5,1044.0,470000,2018,bouldercounty
"55 36TH ST , BOULDER, CO 80303-5526",80303-5526,3.0,1.0,1204.0,600000,2018,bouldercounty
"4645 BROADWAY  C2, BOULDER, CO 80304-4447",80304-4447,1.0,1.0,898.0,156000,2018,bouldercounty
"1921 GOSS ST , BROOMFIELD, CO 80020",80020,5.0,1.5,1632.0,929000,2018,bouldercounty
"2201 PEARL ST 202, BOULDER, CO 80302",80302,1.0,1.0,752.0,525000,2018,bouldercounty
"2155 KALMIA CIR , BOULDER, CO 80304",80304,3.0,2.5,2078.0,1171000,2018,bouldercounty
"3240 IRIS AVE G312, PONTE VEDRA BEACH, FL 32082",32082,3.0,1.5,1242.0,375000,2018,bouldercounty
"305 LIPAN WAY , BOULDER, CO 80303",80303,3.0,3.0,2884.0,1150000,2018,bouldercounty
"2550 VASSAR DR , BOULDER, CO 80305",80305,3.0,3.5,4393.0,1850000,2018,bouldercounty
"1071 QUINCE AVE , BOULDER, CO 80304",80304,3.0,2.5,2250.0,1020000,2018,bouldercounty
"561 LARAMIE BLVD , BOULDER, CO 80304-4749",80304-4749,3.0,4.0,2580.0,805000,2018,bouldercounty
"5236 5TH ST , BOULDER, CO 80304",80304,4.0,3.5,3182.0,1111500,2018,bouldercounty
"1215 BASELINE RD , BOULDER, CO 80303",80303,5.0,2.0,3631.0,1750000,2018,bouldercounty
"1622 9TH ST , BOULDER, CO 80302-6010",80302-6010,4.0,1.5,2147.0,1120000,2018,bouldercounty
"1455 PERIWINKLE DR , DENVER, CO 80202",80202,4.0,2.5,2098.0,1300000,2018,bouldercounty
"1310 ROSEWOOD AVE 5C, BOULDER, CO 80304",80304,2.0,2.0,1699.0,700000,2018,bouldercounty
"3003 VALMONT RD 244, BOULDER, CO 80301",80301,0.0,0.0,0.0,45000,2018,bouldercounty
"3575 28TH ST 101, BOULDER, CO 80301",80301,2.0,1.5,830.0,308000,2018,bouldercounty
"4871 HOPKINS PL , BOULDER, CO 80301",80301,3.0,2.0,1539.0,690000,2018,bouldercounty
"1089 FAIRWAY CT , BOULDER, CO 80303-2931",80303-2931,4.0,1.5,2268.0,750000,2018,bouldercounty
"3105 DARLEY AVE , BOULDER, CO 80305-6401",80305-6401,3.0,1.5,1473.0,720000,2018,bouldercounty
"3517 BROADWAY  D, BOULDER, CO 80304",80304,2.0,1.5,849.0,545000,2018,bouldercounty
"3003 VALMONT RD 67, BOULDER, CO 80301-2142",80301-2142,0.0,0.0,0.0,27000,2018,bouldercounty
"1630 9TH ST , BOULDER, CO 80302",80302,5.0,3.0,1796.0,1050000,2018,bouldercounty
"3630 IRIS AVE B, SHERIDAN, WY 82801",82801,2.0,1.5,968.0,350000,2018,bouldercounty
"3601 ARAPAHOE AVE 415, BOULDER, CO 80303",80303,2.0,2.0,1100.0,625000,2018,bouldercounty
"4500 BASELINE RD 4401, BOULDER, CO 80303",80303,3.0,2.5,1686.0,650000,2018,bouldercounty
"4458 9TH ST , BOULDER, CO 80302",80302,2.0,2.5,1136.0,745200,2018,bouldercounty
"3910 COLORADO AVE E, BOULDER, CO 80303-9004",80303-9004,3.0,2.5,1486.0,652000,2018,bouldercounty
"460 ONEIDA ST , BOULDER, CO 80304",80304,1.0,1.5,2070.0,645000,2018,bouldercounty
"2590 DARTMOUTH AVE , BOULDER, CO 80305",80305,3.0,1.5,1496.0,585000,2018,bouldercounty
"2590 DARTMOUTH AVE , BOULDER, CO 80305",80305,3.0,1.5,1496.0,615000,2018,bouldercounty
"2885 STEPHENS RD , BOULDER, CO 80305",80305,4.0,1.5,2179.0,805000,2018,bouldercounty
"2365 HILLSDALE WAY , BOULDER, CO 80305-5623",80305-5623,4.0,2.5,2276.0,1365000,2018,bouldercounty
"995 POPLAR PL , BOULDER, CO 80304-6704",80304-6704,3.0,3.0,2069.0,947400,2018,bouldercounty
"790 WALNUT ST B, MIAMI, FL 33143",33143,3.0,1.0,1008.0,570000,2018,bouldercounty
"620 PEARL ST A, TEXARKANA, TX 75503",75503,1.0,1.0,750.0,401000,2018,bouldercounty
"4945 NOBLE PARK PL , BOULDER, CO 80301",80301,3.0,2.0,1306.0,581500,2018,bouldercounty
"3100 CARBON PL 204, BOULDER, CO 80301-6131",80301-6131,1.0,1.0,800.0,146600,2018,bouldercounty
"665 MANHATTAN DR 205, WATSONVILLE, CA 95076-9624",95076-9624,2.0,1.5,880.0,340000,2018,bouldercounty
"424 DEWEY AVE , BOULDER, CO 80304",80304,3.0,1.0,950.0,825000,2018,bouldercounty
"1014 UTICA CIR , BOULDER, CO 80304-0796",80304-0796,5.0,3.5,3740.0,1675000,2018,bouldercounty
"3225 ARNETT ST , BOULDER, CO 80304",80304,2.0,1.5,1773.0,802000,2018,bouldercounty
"1445 FINDLAY WAY , BOULDER, CO 80305-6925",80305-6925,2.0,1.5,1764.0,835000,2018,bouldercounty
"1101 FOREST AVE , BOULDER, CO 80304",80304,3.0,1.0,1476.0,862000,2018,bouldercounty
"4645 BROADWAY  B5, COLUMBUS, OH 43212",43212,2.0,2.0,1355.0,560000,2018,bouldercounty
"1330 RIVERSIDE AVE , BOULDER, CO 80304",80304,2.0,1.5,1288.0,858000,2018,bouldercounty
"3755 BIRCHWOOD DR 45, BOULDER, CO 80304",80304,2.0,2.0,1029.0,373500,2018,bouldercounty
"1456 GREENBRIAR BLVD , BOULDER, CO 80303",80303,3.0,3.0,2625.0,629000,2018,bouldercounty
"856 WALNUT ST 4, SARASOTA, FL 34236",34236,2.0,2.0,1004.0,525000,2018,bouldercounty
"822 15TH ST , BOULDER, CO 80302",80302,2.0,2.0,1386.0,815000,2018,bouldercounty
"2260 22ND ST , BOULDER, CO 80304",80304,3.0,2.0,2024.0,1325000,2018,bouldercounty
"3250 ONEAL CIR 33J, BOULDER, CO 80301",80301,1.0,1.0,478.0,230000,2018,bouldercounty
"805 29TH ST 458, BOULDER, CO 80303-2351",80303-2351,1.0,1.0,708.0,260000,2018,bouldercounty
"820 HAWTHORN AVE , BOULDER, CO 80304",80304,4.0,3.5,4723.0,1800000,2018,bouldercounty
"549 LINDEN PARK DR , BOULDER, CO 80304-1015",80304-1015,5.0,3.5,4192.0,1515000,2018,bouldercounty
"755 COTTAGE LN , LOUISVILLE, CO 80027",80027,2.0,1.5,1096.0,699000,2018,bouldercounty
"5919 WELLINGTON RD , BOULDER, CO 80301",80301,5.0,3.0,3214.0,768500,2018,bouldercounty
"1155 HANCOCK DR , BOULDER, CO 80303",80303,4.0,2.0,1934.0,800000,2018,bouldercounty
"4800 OSAGE DR 35C, BOULDER, CO 80302",80302,2.0,1.5,918.0,420100,2018,bouldercounty
"947 LARAMIE BLVD B, BOULDER, CO 80304-4738",80304-4738,1.0,1.0,690.0,365000,2018,bouldercounty
"2301 PEARL ST 6, BOULDER, CO 80306",80306,1.0,1.0,427.0,327600,2018,bouldercounty
"2269 MARIPOSA AVE , BROOMFIELD, CO 80020",80020,4.0,1.5,1223.0,844000,2018,bouldercounty
"970 AURORA AVE A302, BOULDER, CO 80302",80302,2.0,2.0,1338.0,1190000,2018,bouldercounty
"819 10TH ST , BOULDER, CO 80302",80302,3.0,4.0,2385.0,1340000,2018,bouldercounty
"1405 BROADWAY  102, DENVER, CO 80206",80206,1.0,1.0,445.0,230000,2018,bouldercounty
"3206 PALO PKWY , BOULDER, CO 80301",80301,4.0,2.5,2565.0,1180000,2018,bouldercounty
"4598 SPRUCEDALE PL , BOULDER, CO 80301",80301,5.0,4.0,4130.0,1140000,2018,bouldercounty
"3250 ONEAL CIR 12H, BOULDER, CO 80301",80301,2.0,1.5,931.0,356000,2018,bouldercounty
"3788 26TH ST , BOULDER, CO 80304",80304,3.0,3.5,3706.0,1700000,2018,bouldercounty
"4503 MULBERRY CT , BOULDER, CO 80301-5828",80301-5828,4.0,2.5,2543.0,718000,2018,bouldercounty
"3301 ARAPAHOE AVE 310, BOULDER, CO 80303",80303,2.0,2.0,1649.0,749000,2018,bouldercounty
"500 MANHATTAN DR B2, LONGMONT, CO 80503",80503,2.0,2.0,1086.0,326000,2018,bouldercounty
"3615 BERKLEY AVE , BOULDER, CO 80305",80305,4.0,2.5,1840.0,853200,2018,bouldercounty
"5379 PINE VALLEY CT , BOULDER, CO 80301",80301,4.0,3.5,3405.0,865000,2018,bouldercounty
"1210 GEORGETOWN RD , BOULDER, CO 80305",80305,3.0,1.5,966.0,626000,2018,bouldercounty
"1460 LEE HILL DR 5, BOULDER, CO 80304",80304,2.0,2.0,922.0,450000,2018,bouldercounty
"911 CYPRESS DR , BOULDER, CO 80303-2821",80303-2821,4.0,2.0,2371.0,995000,2018,bouldercounty
"854 WALNUT ST 8, BOULDER, CO 80302",80302,1.0,1.5,959.0,610000,2018,bouldercounty
"2337 GOSS ST , SUPERIOR, CO 80027",80027,5.0,2.5,1586.0,955000,2018,bouldercounty
"1061 GRANT PL , BOULDER, CO 80306",80306,2.0,1.0,1316.0,785000,2018,bouldercounty
"3401 ARAPAHOE AVE 205, BOULDER, CO 80303",80303,1.0,1.0,880.0,476900,2018,bouldercounty
"3401 ARAPAHOE AVE 210, BOULDER, CO 80303",80303,2.0,1.5,1258.0,628000,2018,bouldercounty
"4415 LAGUNA PL 212, BOULDER, CO 80303",80303,2.0,2.5,1760.0,502800,2018,bouldercounty
"1065 LARAMIE BLVD F, BOULDER, CO 80304",80304,2.0,2.0,1250.0,520000,2018,bouldercounty
"1850 FOLSOM ST 808, BOULDER, CO 80305",80305,2.0,1.5,1364.0,462000,2018,bouldercounty
"1123 7TH ST , BOULDER, CO 80302",80302,2.0,1.0,764.0,795000,2018,bouldercounty
"3545 28TH ST 106, BOULDER, CO 80303",80303,2.0,1.5,830.0,310000,2018,bouldercounty
"2895 DARTMOUTH AVE , BOULDER, CO 80305-5219",80305-5219,2.0,1.5,1558.0,675000,2018,bouldercounty
"1476 PERIWINKLE DR , BOULDER, CO 80304",80304,4.0,3.5,2796.0,1228100,2018,bouldercounty
"2707 VALMONT RD 211B, BOULDER, CO 80302",80302,2.0,1.0,792.0,259000,2018,bouldercounty
"3301 ARAPAHOE AVE 211, BOULDER, CO 80303",80303,2.0,2.0,1155.0,649900,2018,bouldercounty
"1142 BARBERRY CT , BOULDER, CO 80305",80305,5.0,3.0,3101.0,1325000,2018,bouldercounty
"2250 SPRUCE ST B, PORTLAND, ME 4101",4101,1.0,1.0,740.0,415000,2018,bouldercounty
"2248 VIOLET AVE , BOULDER, CO 80304",80304,4.0,1.5,1264.0,160700,2018,bouldercounty
"1707 YARMOUTH AVE 210, BOULDER, CO 80306",80306,1.0,1.0,707.0,154100,2018,bouldercounty
"4141 SUNRISE CT , BOULDER, CO 80304",80304,3.0,1.5,1346.0,644000,2018,bouldercounty
"3280 47TH ST 210B, BOULDER, CO 80301",80301,2.0,1.0,1030.0,390000,2018,bouldercounty
"805 29TH ST 459, NIWOT, CO 80503",80503,1.0,1.0,708.0,262000,2018,bouldercounty
"5687 PENNSYLVANIA PL , BOULDER, CO 80303-2953",80303-2953,4.0,3.0,3723.0,1130000,2018,bouldercounty
"645 MANHATTAN PL 301, BOULDER, CO 80304",80304,1.0,1.0,676.0,260700,2018,bouldercounty
"4684 INGRAM CT , BOULDER, CO 80305-5507",80305-5507,3.0,1.0,1669.0,750000,2018,bouldercounty
"445 UTICA AVE , BOULDER, CO 80304",80304,4.0,3.0,3207.0,1600000,2018,bouldercounty
"956 GRANT PL , BOULDER, CO 80302",80302,3.0,2.0,3070.0,1510000,2018,bouldercounty
"2707 VALMONT RD 116D, BOULDER, CO 80304",80304,2.0,1.0,792.0,258000,2018,bouldercounty
"1225 EAST RIDGE AVE , MEMPHIS, TN 38101",38101,3.0,1.5,2305.0,454500,2018,bouldercounty
"1540 LEHIGH ST , BOULDER, CO 80305",80305,4.0,2.0,2574.0,850000,2018,bouldercounty
"3035 ONEAL PKWY 21S, BOULDER, CO 80301",80301,3.0,2.0,1344.0,390000,2018,bouldercounty
"1561 48TH ST , BOULDER, CO 80303",80303,2.0,2.0,1408.0,635000,2018,bouldercounty
"2515 BLUFF ST , BOULDER, CO 80304-3721",80304-3721,3.0,1.0,1630.0,954300,2018,bouldercounty
"1550 QUINCE AVE , BOULDER, CO 80304",80304,3.0,1.5,1260.0,373000,2018,bouldercounty
"4210 EVANS DR , BOULDER, CO 80303",80303,4.0,1.5,1660.0,749600,2018,bouldercounty
"1260 DREXEL ST , BOULDER, CO 80305",80305,3.0,2.0,2038.0,955000,2018,bouldercounty
"1610 GROVE ST , BOULDER, CO 80302",80302,2.0,1.0,1020.0,400000,2018,bouldercounty
"3660 IRIS AVE C, BOULDER, CO 80301",80301,2.0,1.5,968.0,325000,2018,bouldercounty
"5654 EUCLID PL , BOULDER, CO 80303",80303,4.0,3.5,3406.0,1302000,2018,bouldercounty
"993 GAPTER RD , CHEYENNE, WY 82001",82001,4.0,5.0,4678.0,1925000,2018,bouldercounty
"38 QUALLA CT , BOULDER, CO 80303-3900",80303-3900,5.0,4.0,2168.0,710000,2018,bouldercounty
"3302 CRIPPLE CREEK TRL 1, BOULDER, CO 80305",80305,2.0,1.0,928.0,424000,2018,bouldercounty
"2430 PINE ST , BOULDER, CO 80302-4611",80302-4611,2.0,1.0,884.0,625000,2018,bouldercounty
"1636 VIOLET AVE , BOULDER, CO 80304-0604",80304-0604,5.0,4.5,5173.0,1950000,2018,bouldercounty
"5451 NORTH FORK CT , BOULDER, CO 80301",80301,3.0,2.5,2564.0,610000,2018,bouldercounty
"5000 BUTTE ST 62, BOULDER, CO 80302",80302,0.0,0.0,0.0,125000,2018,bouldercounty
"1460 55TH ST , BOULDER, CO 80303",80303,3.0,1.5,2060.0,674000,2018,bouldercounty
"1395 BEAR MOUNTAIN DR 104, BOULDER, CO 80305",80305,3.0,1.5,1052.0,840000,2018,bouldercounty
"4330 DREW CIR , BOULDER, CO 80305-6607",80305-6607,3.0,2.0,1800.0,714400,2018,bouldercounty
"1405 GILLASPIE DR , WELLESLEY, MA 2482",2482,4.0,3.0,2814.0,1765000,2018,bouldercounty
"2420 9TH ST 14, BOULDER, CO 80304-3958",80304-3958,2.0,1.5,1010.0,650000,2018,bouldercounty
"4500 19TH ST 522, BOULDER, CO 80304-0623",80304-0623,0.0,0.0,0.0,79800,2018,bouldercounty
"2025 BLUFF ST , BOULDER, CO 80304",80304,2.0,2.0,2056.0,1100000,2018,bouldercounty
"1850 YAUPON AVE C-3, POTOMAC, MD 20854-1712",20854-1712,2.0,2.0,1142.0,600000,2018,bouldercounty
"3910 COLORADO AVE I, BOULDER, CO 80302-9827",80302-9827,3.0,2.0,1213.0,548000,2018,bouldercounty
"3835 APACHE CT , BOULDER, CO 80303",80303,3.0,2.5,2790.0,570000,2018,bouldercounty
"3439 CRIPPLE CREEK SQ B16, VAIL, CO 81657",81657,2.0,1.0,832.0,485000,2018,bouldercounty
"1144 GREEN CIR , BOULDER, CO 80305",80305,1.0,3.0,3217.0,1780000,2018,bouldercounty
"605 HAWTHORN AVE , BOULDER, CO 80304",80304,5.0,2.5,3640.0,2000000,2018,bouldercounty
"316 CHAUTAUQUA PARK , BOULDER, CO 80302",80302,2.0,1.5,884.0,929000,2018,bouldercounty
"4500 19TH ST 198, BOULDER, CO 80304-0617",80304-0617,0.0,0.0,0.0,75000,2018,bouldercounty
"755 38TH ST , BOULDER, CO 80304",80304,3.0,1.0,1026.0,620000,2018,bouldercounty
"3131 ENDICOTT DR , BOULDER, CO 80305",80305,3.0,2.0,1818.0,740000,2018,bouldercounty
"3330 LOYOLA CT , BOULDER, CO 80305",80305,4.0,2.5,2628.0,1250000,2018,bouldercounty
"1511 BLUEBELL AVE , BOULDER, CO 80302-8041",80302-8041,3.0,1.5,1554.0,1050000,2018,bouldercounty
"2930 BROADWAY  B204, BOULDER, CO 80304",80304,2.0,1.5,1122.0,839000,2018,bouldercounty
"3009 MADISON AVE 310M, BOULDER, CO 80303",80303,1.0,1.0,570.0,230000,2018,bouldercounty
"860 INCA PKWY , BOULDER, CO 80303",80303,4.0,3.0,2616.0,770000,2018,bouldercounty
"2336 SPRUCE ST 3, BOULDER, CO 80302-4653",80302-4653,2.0,2.0,1214.0,895000,2018,bouldercounty
"3335 CHISHOLM TRL D103, BOULDER, CO 80301",80301,1.0,1.0,592.0,240000,2018,bouldercounty
"980 SYCAMORE AVE , BOULDER, CO 80303-2860",80303-2860,3.0,1.5,3229.0,1119500,2018,bouldercounty
"2201 PEARL ST 204, BOULDER, CO 80302",80302,1.0,1.0,752.0,465000,2018,bouldercounty
"2103 PINE ST , BOULDER, CO 80302",80302,2.0,2.0,1717.0,1212300,2018,bouldercounty
"3000 BROADWAY  5, BOULDER, CO 80304",80304,2.0,1.0,1152.0,445000,2018,bouldercounty
"1400 LEE HILL DR 3, BOULDER, CO 80304",80304,1.0,1.0,792.0,376000,2018,bouldercounty
"4174 LONGVIEW LN , BOULDER, CO 80301",80301,2.0,2.0,1397.0,664000,2018,bouldercounty
"3200 CARBON PL 204, BOULDER, CO 80301",80301,1.0,1.0,800.0,121200,2018,bouldercounty
"4350 LUDLOW ST , HOUSTON, TX 77253",77253,3.0,1.5,1700.0,784900,2018,bouldercounty
"465 38TH ST , BOULDER, CO 80305",80305,3.0,1.5,1152.0,669000,2018,bouldercounty
"1895 ALPINE AVE 13C, BOULDER, CO 80304-3633",80304-3633,2.0,1.0,888.0,358100,2018,bouldercounty
"4500 19TH ST 427, BOULDER, CO 80304",80304,0.0,0.0,0.0,5000,2018,bouldercounty
"2227 CANYON BLVD 209A, DENVER, CO 80209",80209,1.0,1.0,702.0,280000,2018,bouldercounty
"4500 19TH ST 295, BOULDER, CO 80304-0660",80304-0660,0.0,0.0,0.0,45000,2018,bouldercounty
"4500 19TH ST 219, BOULDER, CO 80304-0617",80304-0617,0.0,0.0,0.0,105000,2018,bouldercounty
"2815 CORDRY CT , AKRON, OH 44333",44333,3.0,1.5,1608.0,600000,2018,bouldercounty
"1165 HANCOCK DR , BOULDER, CO 80303-1101",80303-1101,3.0,2.0,2462.0,600000,2018,bouldercounty
"500 MANHATTAN DR C1, BOULDER, CO 80303-4028",80303-4028,2.0,1.0,1112.0,335000,2018,bouldercounty
"4500 BASELINE RD 3302, KIRKLAND, WA 98034",98034,2.0,2.0,1051.0,460000,2018,bouldercounty
"4280 GRINNELL AVE , BOULDER, CO 80305",80305,4.0,1.5,2414.0,1372700,2018,bouldercounty
"675 DELLWOOD AVE , BOULDER, CO 80304",80304,4.0,2.5,2558.0,1600000,2018,bouldercounty
"4767 10TH ST , BOULDER, CO 80304",80304,3.0,3.0,2281.0,985000,2018,bouldercounty
"2430 GRAPE AVE , BOULDER, CO 80304-2832",80304-2832,5.0,1.5,2420.0,965000,2018,bouldercounty
"2962 KALMIA AVE 32, BOULDER, CO 80301",80301,2.0,2.0,1533.0,534900,2018,bouldercounty
"2616 THORNBIRD PL , BOULDER, CO 80304",80304,2.0,1.5,864.0,249900,2018,bouldercounty
"2565 TABLE MESA DR , BOULDER, CO 80305-5745",80305-5745,3.0,1.5,1426.0,689900,2018,bouldercounty
"700 PEARL ST 3, BOULDER, CO 80302",80302,2.0,1.5,1509.0,1850000,2018,bouldercounty
"3161 MADISON AVE N303, BOULDER, CO 80303",80303,1.0,1.0,570.0,226000,2018,bouldercounty
"1850 FOLSOM ST 1003, BOULDER, CO 80302-5736",80302-5736,1.0,1.0,801.0,459000,2018,bouldercounty
"3707 TALISMAN PL B, BOULDER, CO 80301",80301,2.0,1.5,968.0,143000,2018,bouldercounty
"3643 ROUNDTREE CT , BOULDER, CO 80304-1416",80304-1416,4.0,2.5,2832.0,732500,2018,bouldercounty
"5440 GLENDALE GULCH CIR , BOULDER, CO 80301",80301,4.0,3.0,2165.0,635000,2018,bouldercounty
"5000 BUTTE ST 134, BOULDER, CO 80301-6307",80301-6307,0.0,0.0,0.0,49000,2018,bouldercounty
"4500 BASELINE RD 4101, GREENWOOD VILLAGE, CO 80121",80121,2.0,2.0,1003.0,450000,2018,bouldercounty
"1080 TANTRA PARK CIR , BOULDER, CO 80305",80305,3.0,2.0,1605.0,720000,2018,bouldercounty
"2625 TABLE MESA CT , BOULDER, CO 80304",80304,3.0,1.5,1484.0,760000,2018,bouldercounty
"2530 YARROW CT , BOULDER, CO 80305-6202",80305-6202,3.0,2.0,2050.0,875000,2018,bouldercounty
"820 16TH ST , BOULDER, CO 80302-7628",80302-7628,4.0,3.5,4028.0,1950000,2018,bouldercounty
"3787 TALISMAN PL A, BOULDER, CO 80301-2036",80301-2036,3.0,2.0,1176.0,420000,2018,bouldercounty
"3401 ARAPAHOE AVE 310, CHICAGO, IL 60637",60637,2.0,1.5,1257.0,669900,2018,bouldercounty
"2455 UNIVERSITY HEIGHTS AVE , BOULDER, CO 80302",80302,3.0,1.5,3584.0,840000,2018,bouldercounty
"1474 GREENBRIAR BLVD , BOULDER, CO 80305",80305,4.0,2.5,2382.0,562700,2018,bouldercounty
"3195 DARLEY AVE , BOULDER, CO 80305",80305,3.0,1.5,1386.0,760000,2018,bouldercounty
"3122 9TH ST , BOULDER, CO 80304",80304,3.0,1.5,2003.0,1100000,2018,bouldercounty
"3935 ORCHARD CT , BOULDER, CO 80304-1023",80304-1023,4.0,2.5,3202.0,978000,2018,bouldercounty
"1850 FOLSOM ST 812, BOULDER, CO 80302",80302,1.0,1.0,682.0,311500,2018,bouldercounty
"2288 24TH ST , BOULDER, CO 80301",80301,4.0,2.0,1820.0,950000,2018,bouldercounty
"3765 BIRCHWOOD DR 54, BOULDER, CO 80304-4822",80304-4822,3.0,2.0,1180.0,372500,2018,bouldercounty
"3401 ARAPAHOE AVE 419, BOULDER, CO 80303",80303,0.0,1.0,975.0,644700,2018,bouldercounty
"3135 REDSTONE LN E5, BOULDER, CO 80305",80305,2.0,1.5,1064.0,507000,2018,bouldercounty
"4626 16TH ST 22, BOULDER, CO 80304",80304,4.0,3.0,1590.0,288000,2018,bouldercounty
"4898 BRANDON CREEK DR , BOULDER, CO 80301",80301,3.0,2.0,1692.0,568000,2018,bouldercounty
"2810 HEIDELBERG DR , BOULDER, CO 80307-3031",80307-3031,5.0,3.0,3052.0,1389000,2018,bouldercounty
"660 QUINCE CIR , BOULDER, CO 80304-1031",80304-1031,2.0,1.5,1416.0,770000,2018,bouldercounty
"4810 6TH ST , BOULDER, CO 80304",80304,5.0,3.5,3933.0,1449100,2018,bouldercounty
"2850 AURORA AVE 102, THORNTON, CO 80241",80241,2.0,2.0,990.0,399800,2018,bouldercounty
"665 MANHATTAN DR 2, BOULDER, CO 80303",80303,2.0,1.5,880.0,123000,2018,bouldercounty
"900 46TH ST , BOULDER, CO 80305",80305,5.0,2.0,1676.0,785000,2018,bouldercounty
"4269 GRAHAM CT , BOULDER, CO 80305-5557",80305-5557,3.0,1.5,1868.0,835800,2018,bouldercounty
"1122 UNION AVE , BOULDER, CO 80304-0714",80304-0714,3.0,1.5,1888.0,810000,2018,bouldercounty
"4500 19TH ST 621, BOULDER, CO 80304",80304,0.0,0.0,0.0,65000,2018,bouldercounty
"3215 FOUNDRY PL 101N, BOULDER, CO 80301-6145",80301-6145,3.0,2.5,1656.0,720000,2018,bouldercounty
"2802 SUNDOWN LN 210, BOULDER, CO 80303",80303,1.0,1.0,856.0,350000,2018,bouldercounty
"2860 LAFAYETTE DR , BOULDER, CO 80305-7107",80305-7107,3.0,2.0,3236.0,1498000,2018,bouldercounty
"1021 BEREA DR , BOULDER, CO 80305",80305,3.0,2.0,1520.0,775000,2018,bouldercounty
"1830 MAPLETON AVE , BOULDER, CO 80304-4264",80304-4264,3.0,3.0,2764.0,1800000,2018,bouldercounty
"3230 LONGWOOD AVE , BOULDER, CO 80305",80305,3.0,1.5,1448.0,940000,2018,bouldercounty
"3086 4TH ST , HYGIENE, CO 80533",80533,3.0,1.5,2056.0,1150000,2018,bouldercounty
